blind_id,inclination_deg,eddington_ratio,f_col_fit
blind_cd385610e651,40.0,0.06,1.7
blind_eabbf106a340,40.0,0.06,1.7
blind_01bbfef3962b,40.0,0.06,1.7
blind_71f101a097dc,40.0,0.18,1.7
blind_1c59bc2c4a2c,40.0,0.18,1.7
blind_d3b6cd030f16,40.0,0.18,1.7
blind_ac518a4d2484,70.0,0.06,1.7
blind_45f91aaf7273,70.0,0.06,1.7
blind_27f89e1e8bc0,70.0,0.06,1.7
blind_2a3f8f4c1309,70.0,0.18,1.7
blind_30eea66f0769,70.0,0.18,1.7
blind_d55ca041f978,70.0,0.18,1.7
blind_13f85a7e2097,40.0,0.06,1.7
blind_8a77df07bb49,40.0,0.06,1.7
blind_e8b8b956746b,40.0,0.06,1.7
blind_ca0cb97e8537,40.0,0.18,1.7
blind_8c6694aef949,40.0,0.18,1.7
blind_a54861da2c0c,40.0,0.18,1.7
blind_21b4e1fb6214,70.0,0.06,1.7
blind_241f898eabc3,70.0,0.06,1.7
blind_9ed89ccff471,70.0,0.06,1.7
blind_ac37ed9079a4,70.0,0.18,1.7
blind_50a2cc16d472,70.0,0.18,1.7
blind_e0a575312563,70.0,0.18,1.7
blind_803b83b844c6,40.0,0.06,1.7
blind_123d9273136e,40.0,0.06,1.7
blind_ec9f3a56a1fb,40.0,0.06,1.7
blind_5f6e3ced47a6,40.0,0.18,1.7
blind_9c3861e5ece6,40.0,0.18,1.7
blind_3adff25df098,40.0,0.18,1.7
blind_c81aa28d50fe,70.0,0.06,1.7
blind_8db010a5d62e,70.0,0.06,1.7
blind_4b028e2367c2,70.0,0.06,1.7
blind_9aee2b771a21,70.0,0.18,1.7
blind_45996eeadf25,70.0,0.18,1.7
blind_e887dfb07f19,70.0,0.18,1.7
blind_723aaba0242e,40.0,0.06,1.7
blind_43cd0eae439c,40.0,0.06,1.7
blind_f3d5bc32fcbe,40.0,0.06,1.7
blind_400326ec8d2e,40.0,0.18,1.7
blind_d13adee18a69,40.0,0.18,1.7
blind_0fa5e27ced7d,40.0,0.18,1.7
blind_b3c8bdca0110,70.0,0.06,1.7
blind_b161936ee1a3,70.0,0.06,1.7
blind_b988235c9801,70.0,0.06,1.7
blind_7e9183878139,70.0,0.18,1.7
blind_1c06e334208d,70.0,0.18,1.7
blind_f63a75ce4aa2,70.0,0.18,1.7
